day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
69, 6.0054889,5.4074521,5.7525554,5.4958239,5.5980577,5.0044327,5.1993866,5.1705976,5.5740724,4.9084105,5.1915288,5.0883102,5.8497224,5.4635181,5.4343266,5.7036757
70, 5.9917345,5.3927765,5.7387691,5.4814320,5.5849094,4.9888768,5.1823840,5.1555462,5.5594273,4.8917332,5.1754856,5.0731845,5.8377810,5.4486194,5.4179249,5.6900101
71, 5.9794478,5.3772726,5.7229981,5.4656572,5.5691657,4.9714446,5.1645870,5.1395078,5.5442495,4.8751125,5.1580024,5.0551815,5.8247938,5.4339290,5.4021463,5.6756182
72, 5.9667873,5.3625727,5.7070131,5.4506631,5.5542078,4.9539533,5.1477714,5.1229029,5.5280652,4.8566494,5.1402149,5.0388422,5.8091855,5.4183092,5.3856244,5.6599112
73, 5.9519324,5.3464274,5.6892247,5.4356418,5.5379868,4.9351673,5.1289225,5.1057982,5.5137858,4.8384824,5.1211667,5.0215473,5.7936316,5.4001889,5.3684721,5.6461601
74, 5.9364362,5.3298535,5.6728606,5.4197860,5.5207977,4.9156008,5.1089315,5.0880699,5.4969969,4.8200760,5.1035328,5.0025811,5.7790151,5.3822007,5.3510542,5.6302142
75, 5.9220409,5.3132505,5.6564746,5.4036074,5.5033951,4.8981142,5.0899372,5.0699635,5.4796791,4.8013511,5.0837669,4.9845748,5.7619309,5.3655663,5.3330913,5.6143308
76, 5.9058275,5.2946286,5.6383271,5.3865356,5.4881010,4.8780513,5.0693669,5.0526805,5.4626346,4.7817111,5.0643735,4.9667978,5.7468610,5.3477554,5.3144584,5.5984750
77, 5.8899698,5.2764826,5.6201429,5.3690405,5.4693618,4.8583641,5.0491457,5.0330620,5.4454226,4.7623863,5.0439382,4.9470959,5.7291126,5.3281469,5.2954550,5.5812812
78, 5.8733091,5.2583442,5.6015162,5.3516383,5.4510026,4.8387012,5.0296955,5.0148783,5.4269166,4.7412753,5.0236120,4.9277840,5.7101479,5.3097467,5.2758164,5.5639019
